,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
0,7,p03.50_v06.00e-03_rep0.npy,0.007509376801964311,3.5,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
1,19,p03.50_v06.00e-03_rep0.npy,0.007835696063314877,3.5,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
2,37,p03.50_v06.00e-03_rep0.npy,0.009572773059416149,3.5,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
3,7,p03.50_v01.00e-02_rep0.npy,0.008068814873695377,3.5,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
4,19,p03.50_v01.00e-02_rep0.npy,0.008352787233889105,3.5,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
5,37,p03.50_v01.00e-02_rep0.npy,0.009877953678369527,3.5,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
6,7,p03.50_v03.00e-02_rep0.npy,0.011803599695364634,3.5,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
7,19,p03.50_v03.00e-02_rep0.npy,0.013834327459335329,3.5,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
8,37,p03.50_v03.00e-02_rep0.npy,0.014444265100691054,3.5,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
9,7,p03.50_v01.40e-02_rep0.npy,0.008846782337950203,3.5,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
10,19,p03.50_v01.40e-02_rep0.npy,0.008963083620278206,3.5,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
11,37,p03.50_v01.40e-02_rep0.npy,0.010346189825510495,3.5,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
12,7,p03.50_v01.80e-02_rep0.npy,0.00970650372313865,3.5,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
13,19,p03.50_v01.80e-02_rep0.npy,0.009516893345632677,3.5,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
14,37,p03.50_v01.80e-02_rep0.npy,0.010993796182267463,3.5,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
15,7,p03.50_v02.60e-02_rep0.npy,0.009311995739062159,3.5,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
16,19,p03.50_v02.60e-02_rep0.npy,0.009522847169955106,3.5,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
17,37,p03.50_v02.60e-02_rep0.npy,0.011243862954117143,3.5,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
18,7,p03.50_v02.20e-02_rep0.npy,0.010113209516795214,3.5,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
19,19,p03.50_v02.20e-02_rep0.npy,0.009744535084844623,3.5,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
20,37,p03.50_v02.20e-02_rep0.npy,0.011081763443129123,3.5,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
21,7,p03.50_v02.00e-03_rep0.npy,0.007616893708473071,3.5,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
22,19,p03.50_v02.00e-03_rep0.npy,0.007945755351101981,3.5,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
23,37,p03.50_v02.00e-03_rep0.npy,0.009728025179356337,3.5,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
24,7,p03.54_v01.80e-02_rep0.npy,0.011506923876794773,3.54,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
25,19,p03.54_v01.80e-02_rep0.npy,0.012012442320953186,3.54,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
26,37,p03.54_v01.80e-02_rep0.npy,0.009679418333150726,3.54,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
27,7,p03.54_v01.40e-02_rep0.npy,0.013326945695645959,3.54,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
