.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
0.00,43.32,0.42,58.30,0.50,59.86,0.46,70.68,0.50,65.80,0.46,7.27,0.51,7.65,0.22,6.34,0.11,4.53,0.01,3.47,0.01
3.77,46.05,0.45,58.37,0.50,60.14,0.46,71.22,0.50,69.15,0.48,7.76,0.55,7.50,0.22,6.28,0.10,4.41,0.00,3.83,0.02
7.55,48.00,0.46,57.71,0.49,63.88,0.50,68.65,0.48,69.76,0.49,7.60,0.54,7.65,0.22,5.98,0.09,4.32,0.00,3.97,0.02
11.32,53.86,0.52,57.95,0.50,62.18,0.48,71.80,0.51,72.57,0.51,7.30,0.51,8.02,0.24,6.12,0.10,4.48,0.00,3.80,0.02
15.10,56.43,0.55,62.54,0.54,65.98,0.51,76.02,0.54,76.03,0.54,7.23,0.50,8.20,0.25,6.76,0.12,4.81,0.01,3.45,0.01
18.87,57.80,0.56,64.82,0.56,68.54,0.53,77.43,0.56,76.12,0.54,6.70,0.45,8.41,0.26,6.60,0.12,5.27,0.02,3.16,0.00
22.65,55.55,0.54,62.72,0.54,65.81,0.51,77.83,0.56,77.60,0.56,6.16,0.40,8.48,0.26,6.73,0.12,5.37,0.03,3.37,0.01
26.42,50.19,0.49,63.91,0.55,71.38,0.56,76.97,0.55,80.39,0.58,5.79,0.36,8.36,0.25,7.63,0.16,5.78,0.04,3.53,0.01
30.20,48.18,0.47,65.06,0.56,74.70,0.59,76.98,0.55,82.42,0.60,6.03,0.39,8.28,0.25,8.30,0.18,6.35,0.05,3.73,0.01
33.97,47.76,0.46,66.57,0.57,82.05,0.65,80.68,0.58,85.58,0.62,6.51,0.43,8.62,0.27,8.77,0.20,6.17,0.05,4.01,0.02
37.74,51.42,0.50,70.33,0.60,88.90,0.71,81.86,0.59,84.58,0.61,6.19,0.40,8.97,0.28,9.80,0.24,6.02,0.04,4.29,0.03
41.52,54.07,0.52,66.92,0.57,86.40,0.68,82.03,0.59,82.08,0.59,5.51,0.34,8.73,0.27,9.46,0.23,6.29,0.05,4.35,0.03
45.29,51.88,0.50,65.45,0.56,81.43,0.64,86.96,0.63,83.73,0.61,4.86,0.27,8.78,0.27,9.02,0.21,6.69,0.06,4.30,0.03
49.07,52.27,0.51,66.61,0.57,83.05,0.66,86.80,0.63,81.81,0.59,4.44,0.23,8.99,0.28,8.06,0.17,6.76,0.06,4.57,0.04
52.84,54.33,0.53,66.23,0.57,84.83,0.67,87.88,0.64,82.09,0.59,4.23,0.21,9.49,0.31,7.55,0.15,6.74,0.06,4.59,0.04
56.62,55.59,0.54,67.02,0.58,82.46,0.65,82.48,0.60,87.81,0.64,4.70,0.26,10.51,0.35,7.53,0.15,6.78,0.06,4.66,0.04
60.39,56.17,0.54,71.92,0.62,82.19,0.65,83.56,0.61,85.50,0.62,5.17,0.30,10.26,0.34,7.53,0.15,6.54,0.06,4.45,0.03
64.17,58.28,0.56,74.98,0.64,84.39,0.67,87.56,0.64,87.50,0.64,5.17,0.30,10.04,0.33,7.98,0.17,6.39,0.05,4.38,0.03
67.94,60.22,0.58,75.55,0.65,87.45,0.69,88.73,0.65,89.92,0.66,5.26,0.31,10.28,0.34,8.13,0.18,6.22,0.05,4.25,0.03
71.71,59.15,0.57,75.71,0.65,90.26,0.72,88.81,0.65,93.40,0.69,5.57,0.34,10.24,0.34,7.84,0.17,6.42,0.05,4.89,0.04
75.49,57.36,0.56,78.39,0.67,87.54,0.69,90.48,0.66,93.32,0.69,5.37,0.32,10.75,0.36,7.22,0.14,6.72,0.06,5.14,0.05
79.26,57.83,0.56,77.96,0.67,87.66,0.70,95.15,0.70,93.11,0.68,5.38,0.32,10.17,0.34,6.48,0.11,6.32,0.05,5.33,0.05
83.04,62.34,0.60,83.39,0.72,86.13,0.68,93.20,0.69,89.85,0.66,5.43,0.33,9.76,0.32,6.90,0.13,6.54,0.06,5.35,0.05
86.81,66.08,0.64,85.83,0.74,84.12,0.67,98.07,0.73,89.07,0.65,5.65,0.35,9.18,0.29,7.86,0.17,6.87,0.07,5.30,0.05
90.59,64.71,0.63,81.88,0.71,90.54,0.72,95.96,0.71,92.09,0.68,5.49,0.33,8.78,0.27,8.93,0.21,7.46,0.08,4.86,0.04
94.36,66.15,0.64,80.09,0.69,91.08,0.72,100.15,0.74,94.44,0.70,5.78,0.36,8.74,0.27,8.43,0.19,7.16,0.07,4.73,0.04
98.14,67.40,0.65,82.00,0.71,86.60,0.69,98.80,0.73,96.84,0.72,6.02,0.39,8.59,0.26,8.23,0.18,6.93,0.07,4.59,0.04
101.91,71.08,0.69,82.66,0.71,85.96,0.68,97.26,0.72,97.10,0.72,6.25,0.41,8.91,0.28,8.52,0.19,6.63,0.06,4.21,0.03
105.68,76.12,0.74,85.84,0.74,85.52,0.68,97.39,0.72,97.19,0.72,6.36,0.42,9.66,0.31,8.58,0.20,6.91,0.07,4.57,0.03
109.46,78.21,0.76,83.65,0.72,84.34,0.67,99.39,0.74,98.93,0.73,6.80,0.46,9.12,0.29,7.85,0.17,6.69,0.06,4.53,0.03
113.23,80.35,0.78,84.74,0.73,86.03,0.68,101.17,0.75,104.30,0.78,7.36,0.51,8.38,0.26,7.22,0.14,7.05,0.07,4.67,0.04
117.01,83.60,0.81,88.23,0.76,91.92,0.73,103.53,0.77,101.99,0.76,7.80,0.56,8.85,0.28,7.49,0.15,7.35,0.08,4.85,0.04
