Condition,SpotName,days,area (um2)
1250 cell/mm2,spot1 XY10,0,0
1250 cell/mm2,spot1 XY10,1,1495.848
1250 cell/mm2,spot1 XY10,2,56001.698
1250 cell/mm2,spot1 XY10,3,114980.845
1250 cell/mm2,spot1 XY10,4,58366.562
1250 cell/mm2,spot1 XY10,5,75148.551
1250 cell/mm2,spot1 XY10,6,21582.949
1250 cell/mm2,spot1 XY10,7,4074.405
1250 cell/mm2,spot1 XY10,8,0
1250 cell/mm2,spotB XY10,0,4900.683
1250 cell/mm2,spotB XY10,1,58907.916
1250 cell/mm2,spotB XY10,2,118499.649
1250 cell/mm2,spotB XY10,3,155739.14
1250 cell/mm2,spotB XY10,4,107416.128
1250 cell/mm2,spotB XY10,5,167264.292
1250 cell/mm2,spotB XY10,6,89565.676
1250 cell/mm2,spotB XY10,7,40530.356
1250 cell/mm2,spotB XY10,8,5342.314
1250 cell/mm2,spotC XY10,0,4088.651
1250 cell/mm2,spotC XY10,1,15414.357
1250 cell/mm2,spotC XY10,2,105065.51
1250 cell/mm2,spotC XY10,3,134526.591
1250 cell/mm2,spotC XY10,4,69264.883
1250 cell/mm2,spotC XY10,5,119254.696
1250 cell/mm2,spotC XY10,6,55830.744
1250 cell/mm2,spotC XY10,7,30173.39
1250 cell/mm2,spotC XY10,8,612.585
1250 cell/mm2,spot1 XY13 A,0,1168.186
1250 cell/mm2,spot1 XY13 A,1,14801.772
1250 cell/mm2,spot1 XY13 A,2,101276.029
1250 cell/mm2,spot1 XY13 A,3,143601.402
1250 cell/mm2,spot1 XY13 A,4,116961.063
1250 cell/mm2,spot1 XY13 A,5,167677.431
1250 cell/mm2,spot1 XY13 A,6,103740.616
1250 cell/mm2,spot1 XY13 A,7,53237.94
1250 cell/mm2,spot XY13 B,0,170.954
1250 cell/mm2,spot XY13 B,1,6125.853
1250 cell/mm2,spot XY13 B,2,70846.208
1250 cell/mm2,spot XY13 B,3,82171.913
1250 cell/mm2,spot XY13 B,4,32780.439
1250 cell/mm2,spot XY13 B,5,72256.579
1250 cell/mm2,spot XY13 B,6,23036.058
1250 cell/mm2,spot XY13 B,7,7564.717
2500 cell/mm2,spotA XY11,0,0
2500 cell/mm2,spotA XY11,1,12707.584
2500 cell/mm2,spotA XY11,2,47268.795
2500 cell/mm2,spotA XY11,3,23776.859
2500 cell/mm2,spotA XY11,4,16952.943
2500 cell/mm2,spotA XY11,5,15742.019
