days_integer,condition,initial cell density (mm^-2),replicate,date_time,time_of_sample,time (days),cell_count,cell density (mm^-2)
0,untreated,1250,a,NA,NA,0,400000,1250
0,untreated,1250,b,NA,NA,0,400000,1250
0,untreated,1250,c,NA,NA,0,400000,1250
1,untreated,1250,a, 06.27.2020 06:29:47 AM,6:29:47 AM,1,322564,1008.0125
1,untreated,1250,b, 06.27.2020 06:46:26 AM,6:46:26 AM,1.0115625,328429,1026.340625
1,untreated,1250,c, 06.27.2020 07:00:15 AM,7:00:15 AM,1.021157407,381212,1191.2875
2,untreated,1250,a, 06.28.2020 01:06:54 AM,1:06:54 AM,1.775775463,780018,2437.55625
2,untreated,1250,b, 06.28.2020 01:17:01 AM,1:17:01 AM,1.782800926,738964,2309.2625
2,untreated,1250,c, 06.28.2020 01:27:02 AM,1:27:02 AM,1.789756944,733100,2290.9375
3,untreated,1250,a, 06.29.2020 02:23:51 AM,2:23:51 AM,2.829212963,1659737,5186.678125
3,untreated,1250,b, 06.29.2020 02:34:13 AM,2:34:13 AM,2.836412037,1706656,5333.3
3,untreated,1250,c, 06.29.2020 02:45:23 AM,2:45:23 AM,2.844166667,1554171,4856.784375
4,untreated,1250,a, 06.30.2020 06:57:29 AM,6:57:29 AM,4.019236111,2152380,6726.1875
4,untreated,1250,b, 06.30.2020 07:07:32 AM,7:07:32 AM,4.026215278,1882600,5883.125
4,untreated,1250,c, 06.30.2020 07:16:06 AM,7:16:06 AM,4.032164352,1870870,5846.46875
5,untreated,1250,a, 07.01.2020 04:43:30 AM,4:43:30 AM,4.92619213,2263811,7074.409375
5,untreated,1250,b, 07.01.2020 04:52:00 AM,4:52:00 AM,4.932094907,2340054,7312.66875
5,untreated,1250,c, 07.01.2020 05:00:56 AM,5:00:56 AM,4.938298611,2199299,6872.809375
6,untreated,1250,a, 07.02.2020 05:24:47 AM,5:24:47 AM,5.954861111,1853276,5791.4875
6,untreated,1250,b, 07.02.2020 05:32:59 AM,5:32:59 AM,5.960555556,1911924,5974.7625
6,untreated,1250,c, 07.02.2020 05:40:49 AM,5:40:49 AM,5.96599537,1694926,5296.64375
7,untreated,1250,a, 07.03.2020 05:01:43 AM,5:01:43 AM,6.938842593,2222758,6946.11875
7,untreated,1250,b, 07.03.2020 05:15:12 AM,5:15:12 AM,6.948206019,2105462,6579.56875
0,untreated,2500,a,NA,NA,0,800000,2500
0,untreated,2500,b,NA,NA,0,800000,2500
0,untreated,2500,c,NA,NA,0,800000,2500
1,untreated,2500,a, 06.27.2020 06:31:55 AM,6:31:55 AM,1,862125,2694.140625
1,untreated,2500,b, 06.27.2020 06:48:29 AM,6:48:29 AM,1.01150463,856260,2675.8125
1,untreated,2500,c, 06.27.2020 07:01:15 AM,7:01:15 AM,1.02037037,826936,2584.175
2,untreated,2500,a, 06.28.2020 01:08:07 AM,1:08:07 AM,1.775138889,1735980,5424.9375
2,untreated,2500,b, 06.28.2020 01:17:53 AM,1:17:53 AM,1.781921296,1759439,5498.246875
2,untreated,2500,c, 06.28.2020 01:28:14 AM,1:28:14 AM,1.789108796,1548306,4838.45625
3,untreated,2500,a, 06.29.2020 02:25:15 AM,2:25:15 AM,2.828703704,1759439,5498.246875
3,untreated,2500,b, 06.29.2020 02:35:03 AM,2:35:03 AM,2.835509259,1700791,5314.971875
3,untreated,2500,c, 06.29.2020 02:46:24 AM,2:46:24 AM,2.843391204,1923653,6011.415625
