,file,file_idx,frame
0,10000_A_BF.tiff,0,0
1,10000_A_BF.tiff,0,5
2,10000_A_BF.tiff,0,10
3,10000_A_BF.tiff,0,15
4,10000_A_BF.tiff,0,20
5,10000_A_BF.tiff,0,25
6,10000_A_BF.tiff,0,30
7,10000_A_BF.tiff,0,35
8,10000_A_BF.tiff,0,40
9,10000_A_BF.tiff,0,45
10,10000_A_BF.tiff,0,50
11,10000_A_BF.tiff,0,55
12,10000_A_BF.tiff,0,60
13,10000_A_BF.tiff,0,65
14,10000_A_BF.tiff,0,70
15,10000_A_BF.tiff,0,75
16,10000_A_BF.tiff,0,80
17,10000_A_BF.tiff,0,85
18,10000_A_BF.tiff,0,90
19,10000_A_BF.tiff,0,95
20,10000_A_BF.tiff,0,100
21,10000_A_BF.tiff,0,105
22,10000_A_BF.tiff,0,110
23,10000_A_BF.tiff,0,115
24,10000_A_BF.tiff,0,120
25,10000_A_BF.tiff,0,125
26,10000_A_BF.tiff,0,130
27,10000_A_BF.tiff,0,135
28,10000_A_BF.tiff,0,140
29,10000_A_BF.tiff,0,145
30,10000_A_BF.tiff,0,150
31,10000_A_BF.tiff,0,155
32,10000_A_BF.tiff,0,160
33,10000_B_BF.tiff,1,0
34,10000_B_BF.tiff,1,5
35,10000_B_BF.tiff,1,10
36,10000_B_BF.tiff,1,15
37,10000_B_BF.tiff,1,20
38,10000_B_BF.tiff,1,25
39,10000_B_BF.tiff,1,30
40,10000_B_BF.tiff,1,35
41,10000_B_BF.tiff,1,40
42,10000_B_BF.tiff,1,45
43,10000_B_BF.tiff,1,50
44,10000_B_BF.tiff,1,55
45,10000_B_BF.tiff,1,60
46,10000_B_BF.tiff,1,65
47,10000_B_BF.tiff,1,70
48,10000_B_BF.tiff,1,75
49,10000_B_BF.tiff,1,80
50,10000_B_BF.tiff,1,85
51,10000_B_BF.tiff,1,90
52,10000_B_BF.tiff,1,95
53,10000_B_BF.tiff,1,100
54,10000_B_BF.tiff,1,105
55,10000_B_BF.tiff,1,110
56,10000_B_BF.tiff,1,115
57,10000_B_BF.tiff,1,120
58,10000_B_BF.tiff,1,125
59,10000_B_BF.tiff,1,130
60,10000_B_BF.tiff,1,135
61,10000_B_BF.tiff,1,140
62,10000_B_BF.tiff,1,145
63,10000_B_BF.tiff,1,150
64,10000_B_BF.tiff,1,155
65,10000_B_BF.tiff,1,160
66,10000_C_BF.tiff,2,0
67,10000_C_BF.tiff,2,5
68,10000_C_BF.tiff,2,10
69,10000_C_BF.tiff,2,15
70,10000_C_BF.tiff,2,20
71,10000_C_BF.tiff,2,25
72,10000_C_BF.tiff,2,30
73,10000_C_BF.tiff,2,35
74,10000_C_BF.tiff,2,40
75,10000_C_BF.tiff,2,45
76,10000_C_BF.tiff,2,50
77,10000_C_BF.tiff,2,55
78,10000_C_BF.tiff,2,60
79,10000_C_BF.tiff,2,65
80,10000_C_BF.tiff,2,70
81,10000_C_BF.tiff,2,75
82,10000_C_BF.tiff,2,80
83,10000_C_BF.tiff,2,85
84,10000_C_BF.tiff,2,90
85,10000_C_BF.tiff,2,95
86,10000_C_BF.tiff,2,100
87,10000_C_BF.tiff,2,105
88,10000_C_BF.tiff,2,110
89,10000_C_BF.tiff,2,115
90,10000_C_BF.tiff,2,120
91,10000_C_BF.tiff,2,125
92,10000_C_BF.tiff,2,130
93,10000_C_BF.tiff,2,135
94,10000_C_BF.tiff,2,140
95,10000_C_BF.tiff,2,145
96,10000_C_BF.tiff,2,150
97,10000_C_BF.tiff,2,155
98,10000_C_BF.tiff,2,160
99,1000_A_BF.tiff,3,0
100,1000_A_BF.tiff,3,5
101,1000_A_BF.tiff,3,10
102,1000_A_BF.tiff,3,15
103,1000_A_BF.tiff,3,20
104,1000_A_BF.tiff,3,25
105,1000_A_BF.tiff,3,30
106,1000_A_BF.tiff,3,35
107,1000_A_BF.tiff,3,40
108,1000_A_BF.tiff,3,45
109,1000_A_BF.tiff,3,50
110,1000_A_BF.tiff,3,55
111,1000_A_BF.tiff,3,60
112,1000_A_BF.tiff,3,65
113,1000_A_BF.tiff,3,70
114,1000_A_BF.tiff,3,75
115,1000_A_BF.tiff,3,80
116,1000_A_BF.tiff,3,85
117,1000_A_BF.tiff,3,90
118,1000_A_BF.tiff,3,95
119,1000_A_BF.tiff,3,100
120,1000_A_BF.tiff,3,105
121,1000_A_BF.tiff,3,110
122,1000_A_BF.tiff,3,115
123,1000_A_BF.tiff,3,120
124,1000_A_BF.tiff,3,125
125,1000_A_BF.tiff,3,130
126,1000_A_BF.tiff,3,135
127,1000_A_BF.tiff,3,140
128,1000_A_BF.tiff,3,145
129,1000_A_BF.tiff,3,150
130,1000_A_BF.tiff,3,155
131,1000_A_BF.tiff,3,160
132,1000_B_BF.tiff,4,0
133,1000_B_BF.tiff,4,5
134,1000_B_BF.tiff,4,10
135,1000_B_BF.tiff,4,15
136,1000_B_BF.tiff,4,20
137,1000_B_BF.tiff,4,25
138,1000_B_BF.tiff,4,30
139,1000_B_BF.tiff,4,35
140,1000_B_BF.tiff,4,40
141,1000_B_BF.tiff,4,45
142,1000_B_BF.tiff,4,50
143,1000_B_BF.tiff,4,55
144,1000_B_BF.tiff,4,60
145,1000_B_BF.tiff,4,65
146,1000_B_BF.tiff,4,70
147,1000_B_BF.tiff,4,75
148,1000_B_BF.tiff,4,80
149,1000_B_BF.tiff,4,85
150,1000_B_BF.tiff,4,90
151,1000_B_BF.tiff,4,95
152,1000_B_BF.tiff,4,100
153,1000_B_BF.tiff,4,105
154,1000_B_BF.tiff,4,110
155,1000_B_BF.tiff,4,115
156,1000_B_BF.tiff,4,120
157,1000_B_BF.tiff,4,125
158,1000_B_BF.tiff,4,130
159,1000_B_BF.tiff,4,135
160,1000_B_BF.tiff,4,140
161,1000_B_BF.tiff,4,145
162,1000_B_BF.tiff,4,150
163,1000_B_BF.tiff,4,155
164,1000_B_BF.tiff,4,160
165,1000_C_BF.tiff,5,0
166,1000_C_BF.tiff,5,5
167,1000_C_BF.tiff,5,10
168,1000_C_BF.tiff,5,15
169,1000_C_BF.tiff,5,20
170,1000_C_BF.tiff,5,25
171,1000_C_BF.tiff,5,30
172,1000_C_BF.tiff,5,35
173,1000_C_BF.tiff,5,40
174,1000_C_BF.tiff,5,45
175,1000_C_BF.tiff,5,50
176,1000_C_BF.tiff,5,55
177,1000_C_BF.tiff,5,60
178,1000_C_BF.tiff,5,65
179,1000_C_BF.tiff,5,70
180,1000_C_BF.tiff,5,75
181,1000_C_BF.tiff,5,80
182,1000_C_BF.tiff,5,85
183,1000_C_BF.tiff,5,90
184,1000_C_BF.tiff,5,95
185,1000_C_BF.tiff,5,100
186,1000_C_BF.tiff,5,105
187,1000_C_BF.tiff,5,110
188,1000_C_BF.tiff,5,115
189,1000_C_BF.tiff,5,120
190,1000_C_BF.tiff,5,125
191,1000_C_BF.tiff,5,130
192,1000_C_BF.tiff,5,135
193,1000_C_BF.tiff,5,140
194,1000_C_BF.tiff,5,145
195,1000_C_BF.tiff,5,150
196,1000_C_BF.tiff,5,155
197,1000_C_BF.tiff,5,160
198,160000_A_BF.tiff,6,0
199,160000_A_BF.tiff,6,5
200,160000_A_BF.tiff,6,10
201,160000_A_BF.tiff,6,15
202,160000_A_BF.tiff,6,20
203,160000_A_BF.tiff,6,25
204,160000_A_BF.tiff,6,30
205,160000_A_BF.tiff,6,35
206,160000_A_BF.tiff,6,40
207,160000_A_BF.tiff,6,45
208,160000_A_BF.tiff,6,50
209,160000_A_BF.tiff,6,55
210,160000_A_BF.tiff,6,60
211,160000_A_BF.tiff,6,65
212,160000_A_BF.tiff,6,70
213,160000_A_BF.tiff,6,75
214,160000_A_BF.tiff,6,80
215,160000_A_BF.tiff,6,85
216,160000_A_BF.tiff,6,90
217,160000_A_BF.tiff,6,95
218,160000_A_BF.tiff,6,100
219,160000_A_BF.tiff,6,105
220,160000_A_BF.tiff,6,110
221,160000_A_BF.tiff,6,115
222,160000_A_BF.tiff,6,120
223,160000_A_BF.tiff,6,125
224,160000_A_BF.tiff,6,130
225,160000_A_BF.tiff,6,135
226,160000_A_BF.tiff,6,140
227,160000_A_BF.tiff,6,145
228,160000_A_BF.tiff,6,150
229,160000_A_BF.tiff,6,155
230,160000_A_BF.tiff,6,160
231,160000_B_BF.tiff,7,0
232,160000_B_BF.tiff,7,5
233,160000_B_BF.tiff,7,10
234,160000_B_BF.tiff,7,15
235,160000_B_BF.tiff,7,20
236,160000_B_BF.tiff,7,25
237,160000_B_BF.tiff,7,30
238,160000_B_BF.tiff,7,35
239,160000_B_BF.tiff,7,40
240,160000_B_BF.tiff,7,45
241,160000_B_BF.tiff,7,50
242,160000_B_BF.tiff,7,55
243,160000_B_BF.tiff,7,60
244,160000_B_BF.tiff,7,65
245,160000_B_BF.tiff,7,70
246,160000_B_BF.tiff,7,75
247,160000_B_BF.tiff,7,80
248,160000_B_BF.tiff,7,85
249,160000_B_BF.tiff,7,90
250,160000_B_BF.tiff,7,95
251,160000_B_BF.tiff,7,100
252,160000_B_BF.tiff,7,105
253,160000_B_BF.tiff,7,110
254,160000_B_BF.tiff,7,115
255,160000_B_BF.tiff,7,120
256,160000_B_BF.tiff,7,125
257,160000_B_BF.tiff,7,130
258,160000_B_BF.tiff,7,135
259,160000_B_BF.tiff,7,140
260,160000_B_BF.tiff,7,145
261,160000_B_BF.tiff,7,150
262,160000_B_BF.tiff,7,155
263,160000_B_BF.tiff,7,160
264,160000_C_BF.tiff,8,0
265,160000_C_BF.tiff,8,5
266,160000_C_BF.tiff,8,10
267,160000_C_BF.tiff,8,15
268,160000_C_BF.tiff,8,20
269,160000_C_BF.tiff,8,25
270,160000_C_BF.tiff,8,30
271,160000_C_BF.tiff,8,35
272,160000_C_BF.tiff,8,40
273,160000_C_BF.tiff,8,45
274,160000_C_BF.tiff,8,50
275,160000_C_BF.tiff,8,55
276,160000_C_BF.tiff,8,60
277,160000_C_BF.tiff,8,65
278,160000_C_BF.tiff,8,70
279,160000_C_BF.tiff,8,75
280,160000_C_BF.tiff,8,80
281,160000_C_BF.tiff,8,85
282,160000_C_BF.tiff,8,90
283,160000_C_BF.tiff,8,95
284,160000_C_BF.tiff,8,100
285,160000_C_BF.tiff,8,105
286,160000_C_BF.tiff,8,110
287,160000_C_BF.tiff,8,115
288,160000_C_BF.tiff,8,120
289,160000_C_BF.tiff,8,125
290,160000_C_BF.tiff,8,130
291,160000_C_BF.tiff,8,135
292,160000_C_BF.tiff,8,140
293,160000_C_BF.tiff,8,145
294,160000_C_BF.tiff,8,150
295,160000_C_BF.tiff,8,155
296,160000_C_BF.tiff,8,160
297,20000_A_BF.tiff,9,0
298,20000_A_BF.tiff,9,5
299,20000_A_BF.tiff,9,10
300,20000_A_BF.tiff,9,15
301,20000_A_BF.tiff,9,20
302,20000_A_BF.tiff,9,25
303,20000_A_BF.tiff,9,30
304,20000_A_BF.tiff,9,35
305,20000_A_BF.tiff,9,40
306,20000_A_BF.tiff,9,45
307,20000_A_BF.tiff,9,50
308,20000_A_BF.tiff,9,55
309,20000_A_BF.tiff,9,60
310,20000_A_BF.tiff,9,65
311,20000_A_BF.tiff,9,70
312,20000_A_BF.tiff,9,75
313,20000_A_BF.tiff,9,80
314,20000_A_BF.tiff,9,85
315,20000_A_BF.tiff,9,90
316,20000_A_BF.tiff,9,95
317,20000_A_BF.tiff,9,100
318,20000_A_BF.tiff,9,105
319,20000_A_BF.tiff,9,110
320,20000_A_BF.tiff,9,115
321,20000_A_BF.tiff,9,120
322,20000_A_BF.tiff,9,125
323,20000_A_BF.tiff,9,130
324,20000_A_BF.tiff,9,135
325,20000_A_BF.tiff,9,140
326,20000_A_BF.tiff,9,145
327,20000_A_BF.tiff,9,150
328,20000_A_BF.tiff,9,155
329,20000_A_BF.tiff,9,160
330,20000_B_BF.tiff,10,0
331,20000_B_BF.tiff,10,5
332,20000_B_BF.tiff,10,10
333,20000_B_BF.tiff,10,15
334,20000_B_BF.tiff,10,20
335,20000_B_BF.tiff,10,25
336,20000_B_BF.tiff,10,30
