,x_center,y_center,radius
064h_blue,1741.7026609634636,1722.831205858802,1604.2919817133152
088h_blue,1676.4692226406187,1770.55079465583,1548.8693488928395
112h_blue,1732.6079498317313,1744.5481101272642,1600.535739257946
136h_blue,1700.230256675697,1702.0995481746158,1598.106241181297
160h_blue,1664.0624678573827,1654.8598783580137,1596.2307023429858
064h_green,1737.725683945945,1760.3287000191676,1600.984588776579
088h_green,1729.6426104367235,1740.725046470555,1602.079901899149
112h_green,1731.3930407774233,1745.3867108218315,1595.8404452685859
136h_green,1699.6635212175952,1745.8634119098429,1595.7463596030198
160h_green,1656.8853011549356,1656.176918289181,1599.0495615056477
