,imname,x_src,y_src,x_dst,y_dst
0,064h_blue,1087.8173598085282,457.3645384241131,2218.317359808528,2939.364538424113
1,088h_blue,1022.5839214856833,505.0841272211412,2153.0839214856833,2987.084127221141
2,112h_blue,1078.7226486767959,479.08144269257537,2209.222648676796,2961.0814426925754
3,136h_blue,1046.3449555207617,436.63288073992703,2176.8449555207617,2918.632880739927
4,160h_blue,1010.1771667024473,389.3932109233249,2140.6771667024473,2871.3932109233247
5,064h_green,1083.8403827910097,494.8620325844788,2214.3403827910097,2976.8620325844786
6,088h_green,1075.7573092817881,475.25837903586626,2206.257309281788,2957.2583790358663
7,112h_green,1077.5077396224879,479.92004338714264,2208.007739622488,2961.920043387143
8,136h_green,1045.7782200626598,480.39674447515404,2176.27822006266,2962.3967444751543
9,160h_green,1003.0000000000002,390.7102508544922,2133.5,2872.710250854492
