,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
737,cell_000,0,67,2.68,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
738,cell_003,1,67,2.68,0.13049826639883155,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
739,cell_015,2,67,2.68,0.0012671405889810258,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
740,cell_035,3,67,2.68,9.624528312694562e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
741,cell_057,4,67,2.68,9.318069607732516e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
742,cell_086,5,67,2.68,9.31806958142467e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
743,cell_126,6,67,2.68,9.318069581424669e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
744,cell_181,7,67,2.68,9.318069581424669e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
745,cell_240,8,67,2.68,9.318069581424669e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
746,cell_296,9,67,2.68,9.318069581401226e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
747,cell_351,10,67,2.68,9.318049937078628e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
748,cell_000,0,68,2.72,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
749,cell_003,1,68,2.72,0.13132408748728164,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
750,cell_015,2,68,2.72,0.0013071272190797619,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
751,cell_035,3,68,2.72,9.683966641460885e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
752,cell_057,4,68,2.72,9.344862631306104e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
753,cell_086,5,68,2.72,9.344862600197074e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
754,cell_126,6,68,2.72,9.344862600197072e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
755,cell_181,7,68,2.72,9.344862600197072e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
756,cell_240,8,68,2.72,9.344862600197072e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
