,frame,avg. speed,movie,plating density,replicate,time (hr)
0,0,1.1781962363934186,1000 cell A.avi,1000,A,0
1,10,1.0085237721807985,1000 cell A.avi,1000,A,10
2,20,1.089973951424748,1000 cell A.avi,1000,A,20
3,30,1.1169915732723406,1000 cell A.avi,1000,A,30
4,40,1.134679486934313,1000 cell A.avi,1000,A,40
5,50,1.2060761137482168,1000 cell A.avi,1000,A,50
6,60,1.2229025927495794,1000 cell A.avi,1000,A,60
7,70,1.0173827268802467,1000 cell A.avi,1000,A,70
8,80,0.8300769903755126,1000 cell A.avi,1000,A,80
9,90,0.717335156712658,1000 cell A.avi,1000,A,90
10,100,0.6869903199611959,1000 cell A.avi,1000,A,100
11,110,1.2744011301656397,1000 cell A.avi,1000,A,110
12,120,1.3188911837391444,1000 cell A.avi,1000,A,120
13,130,1.1315417077312464,1000 cell A.avi,1000,A,130
14,140,0.959195643409166,1000 cell A.avi,1000,A,140
15,150,0.984413629385604,1000 cell A.avi,1000,A,150
0,0,2.3582234229389365,1000 cell B.avi,1000,B,0
1,10,1.6901825051618844,1000 cell B.avi,1000,B,10
2,20,1.3099341397599837,1000 cell B.avi,1000,B,20
3,30,0.9841393287799829,1000 cell B.avi,1000,B,30
4,40,1.8306452357473724,1000 cell B.avi,1000,B,40
5,50,0.7949194057086901,1000 cell B.avi,1000,B,50
6,60,1.3656535181241598,1000 cell B.avi,1000,B,60
7,70,0.9128626461917325,1000 cell B.avi,1000,B,70
8,80,0.651451278120015,1000 cell B.avi,1000,B,80
9,90,1.0398351131579373,1000 cell B.avi,1000,B,90
10,100,1.2267942983314566,1000 cell B.avi,1000,B,100
11,110,1.2821005392839406,1000 cell B.avi,1000,B,110
12,120,1.440908412851729,1000 cell B.avi,1000,B,120
13,130,1.5747635295000306,1000 cell B.avi,1000,B,130
14,140,1.3200540065833677,1000 cell B.avi,1000,B,140
15,150,1.0136036924111214,1000 cell B.avi,1000,B,150
0,0,1.57882161678151,1000 cell C.avi,1000,C,0
1,10,1.0731650613678396,1000 cell C.avi,1000,C,10
2,20,0.6230932181602971,1000 cell C.avi,1000,C,20
3,30,0.9478440578489328,1000 cell C.avi,1000,C,30
4,40,1.2824379974039712,1000 cell C.avi,1000,C,40
5,50,1.0335313272390723,1000 cell C.avi,1000,C,50
6,60,1.3431098161036334,1000 cell C.avi,1000,C,60
7,70,0.6608267347525993,1000 cell C.avi,1000,C,70
8,80,0.4426835960594099,1000 cell C.avi,1000,C,80
9,90,0.6724293459077949,1000 cell C.avi,1000,C,90
10,100,0.8374762849413496,1000 cell C.avi,1000,C,100
11,110,0.974822914211786,1000 cell C.avi,1000,C,110
12,120,1.2729004871849117,1000 cell C.avi,1000,C,120
13,130,1.2249026411985686,1000 cell C.avi,1000,C,130
14,140,1.0920467089729262,1000 cell C.avi,1000,C,140
15,150,1.1976346713276687,1000 cell C.avi,1000,C,150
0,0,1.0652629939049143,10000 cells A.avi,10000,A,0
1,10,1.3497469473509143,10000 cells A.avi,10000,A,10
