,cell,gene_0,gene_1,step,time,X_coord,Y_coord,k_0,k_1
14,14,0.0,100.0,0,0,-13.5,0.0,20.0,20.0
43,43,0.0,100.0,0,0,-12.5,0.0,20.0,20.0
72,72,0.0,100.0,0,0,-11.5,0.0,20.0,20.0
101,101,0.0,100.0,0,0,-10.5,0.0,20.0,20.0
130,130,0.0,100.0,0,0,-9.5,0.0,20.0,20.0
159,159,0.0,100.0,0,0,-8.5,0.0,20.0,20.0
188,188,0.0,100.0,0,0,-7.5,0.0,20.0,20.0
217,217,0.0,100.0,0,0,-6.5,0.0,20.0,20.0
246,246,0.0,100.0,0,0,-5.5,0.0,20.0,20.0
275,275,0.0,100.0,0,0,-4.5,0.0,20.0,20.0
304,304,0.0,100.0,0,0,-3.5,0.0,20.0,20.0
333,333,0.0,100.0,0,0,-2.5,0.0,20.0,20.0
362,362,0.0,100.0,0,0,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,0,0,-0.5,0.0,20.0,20.0
420,420,0.0,100.0,0,0,0.5,0.0,20.0,20.0
449,449,0.0,100.0,0,0,1.5,0.0,20.0,20.0
478,478,0.0,100.0,0,0,2.5,0.0,20.0,20.0
507,507,0.0,100.0,0,0,3.5,0.0,20.0,20.0
536,536,0.0,100.0,0,0,4.5,0.0,20.0,20.0
565,565,0.0,100.0,0,0,5.5,0.0,20.0,20.0
594,594,0.0,100.0,0,0,6.5,0.0,20.0,20.0
623,623,0.0,100.0,0,0,7.5,0.0,20.0,20.0
652,652,0.0,100.0,0,0,8.5,0.0,20.0,20.0
681,681,0.0,100.0,0,0,9.5,0.0,20.0,20.0
710,710,0.0,100.0,0,0,10.5,0.0,20.0,20.0
739,739,0.0,100.0,0,0,11.5,0.0,20.0,20.0
768,768,0.0,100.0,0,0,12.5,0.0,20.0,20.0
797,797,0.0,100.0,0,0,13.5,0.0,20.0,20.0
14,14,3.8461538461538463,100.0,1,1,-13.5,0.0,20.0,20.0
43,43,3.8461538461538463,100.0,1,1,-12.5,0.0,20.0,20.0
72,72,3.8461538461538463,100.0,1,1,-11.5,0.0,20.0,20.0
101,101,3.8461538461538463,100.0,1,1,-10.5,0.0,20.0,20.0
130,130,3.8461538461538463,100.0,1,1,-9.5,0.0,20.0,20.0
159,159,3.8461538461538463,100.0,1,1,-8.5,0.0,20.0,20.0
188,188,3.8461538461538463,100.0,1,1,-7.5,0.0,20.0,20.0
217,217,3.8461538461538463,100.0,1,1,-6.5,0.0,20.0,20.0
246,246,3.8461538461538463,100.0,1,1,-5.5,0.0,20.0,20.0
275,275,3.8461538461538463,100.0,1,1,-4.5,0.0,20.0,20.0
304,304,3.8461538461538463,100.0,1,1,-3.5,0.0,20.0,20.0
333,333,3.8461538461538463,100.0,1,1,-2.5,0.0,20.0,20.0
362,362,4.544020195645315,85.20710059171599,1,1,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,1,1,-0.5,0.0,20.0,20.0
420,420,4.544020195645315,85.20710059171599,1,1,0.5,0.0,20.0,20.0
449,449,3.8461538461538463,100.0,1,1,1.5,0.0,20.0,20.0
478,478,3.8461538461538463,100.0,1,1,2.5,0.0,20.0,20.0
507,507,3.8461538461538463,100.0,1,1,3.5,0.0,20.0,20.0
536,536,3.8461538461538463,100.0,1,1,4.5,0.0,20.0,20.0
565,565,3.8461538461538463,100.0,1,1,5.5,0.0,20.0,20.0
594,594,3.8461538461538463,100.0,1,1,6.5,0.0,20.0,20.0
623,623,3.8461538461538463,100.0,1,1,7.5,0.0,20.0,20.0
652,652,3.8461538461538463,100.0,1,1,8.5,0.0,20.0,20.0
681,681,3.8461538461538463,100.0,1,1,9.5,0.0,20.0,20.0
710,710,3.8461538461538463,100.0,1,1,10.5,0.0,20.0,20.0
739,739,3.8461538461538463,100.0,1,1,11.5,0.0,20.0,20.0
768,768,3.8461538461538463,100.0,1,1,12.5,0.0,20.0,20.0
797,797,3.8461538461538463,100.0,1,1,13.5,0.0,20.0,20.0
14,14,3.8461538461538463,96.43366619115548,2,2,-13.5,0.0,20.0,20.0
43,43,3.8461538461538463,96.43366619115548,2,2,-12.5,0.0,20.0,20.0
72,72,3.8461538461538463,96.43366619115548,2,2,-11.5,0.0,20.0,20.0
101,101,3.8461538461538463,96.43366619115548,2,2,-10.5,0.0,20.0,20.0
130,130,3.8461538461538463,96.43366619115548,2,2,-9.5,0.0,20.0,20.0
159,159,3.8461538461538463,96.43366619115548,2,2,-8.5,0.0,20.0,20.0
188,188,3.8461538461538463,96.43366619115548,2,2,-7.5,0.0,20.0,20.0
217,217,3.8461538461538463,96.43366619115548,2,2,-6.5,0.0,20.0,20.0
246,246,3.8461538461538463,96.43366619115548,2,2,-5.5,0.0,20.0,20.0
275,275,3.8461538461538463,96.43366619115548,2,2,-4.5,0.0,20.0,20.0
304,304,3.8461538461538463,96.43366619115548,2,2,-3.5,0.0,20.0,20.0
333,333,3.9389574530890115,96.32899085398246,2,2,-2.5,0.0,20.0,20.0
362,362,5.64014642440986,72.47868875966198,2,2,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,2,2,-0.5,0.0,20.0,20.0
420,420,5.64014642440986,72.47868875966198,2,2,0.5,0.0,20.0,20.0
449,449,3.9389574530890115,96.32899085398246,2,2,1.5,0.0,20.0,20.0
478,478,3.8461538461538463,96.43366619115548,2,2,2.5,0.0,20.0,20.0
507,507,3.8461538461538463,96.43366619115548,2,2,3.5,0.0,20.0,20.0
536,536,3.8461538461538463,96.43366619115548,2,2,4.5,0.0,20.0,20.0
565,565,3.8461538461538463,96.43366619115548,2,2,5.5,0.0,20.0,20.0
594,594,3.8461538461538463,96.43366619115548,2,2,6.5,0.0,20.0,20.0
623,623,3.8461538461538463,96.43366619115548,2,2,7.5,0.0,20.0,20.0
652,652,3.8461538461538463,96.43366619115548,2,2,8.5,0.0,20.0,20.0
681,681,3.8461538461538463,96.43366619115548,2,2,9.5,0.0,20.0,20.0
710,710,3.8461538461538463,96.43366619115548,2,2,10.5,0.0,20.0,20.0
739,739,3.8461538461538463,96.43366619115548,2,2,11.5,0.0,20.0,20.0
768,768,3.8461538461538463,96.43366619115548,2,2,12.5,0.0,20.0,20.0
797,797,3.8461538461538463,96.43366619115548,2,2,13.5,0.0,20.0,20.0
14,14,4.1239443324036715,96.43366619115548,3,3,-13.5,0.0,20.0,20.0
43,43,4.123944332403672,96.43366619115548,3,3,-12.5,0.0,20.0,20.0
72,72,4.123944332403672,96.43366619115548,3,3,-11.5,0.0,20.0,20.0
101,101,4.123944332403672,96.43366619115548,3,3,-10.5,0.0,20.0,20.0
130,130,4.123944332403672,96.43366619115548,3,3,-9.5,0.0,20.0,20.0
159,159,4.123944332403672,96.43366619115548,3,3,-8.5,0.0,20.0,20.0
188,188,4.123944332403672,96.43366619115548,3,3,-7.5,0.0,20.0,20.0
217,217,4.123944332403672,96.43366619115548,3,3,-6.5,0.0,20.0,20.0
246,246,4.123944332403672,96.43366619115548,3,3,-5.5,0.0,20.0,20.0
275,275,4.123944332403672,96.43366619115548,3,3,-4.5,0.0,20.0,20.0
304,304,4.124659722761363,96.4198237818717,3,3,-3.5,0.0,20.0,20.0
333,333,4.30018934184774,96.01679261428447,3,3,-2.5,0.0,20.0,20.0
362,362,7.092952291795,69.99639836352283,3,3,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,3,3,-0.5,0.0,20.0,20.0
420,420,7.092952291795,69.99639836352283,3,3,0.5,0.0,20.0,20.0
449,449,4.30018934184774,96.01679261428447,3,3,1.5,0.0,20.0,20.0
478,478,4.124659722761364,96.4198237818717,3,3,2.5,0.0,20.0,20.0
