,filename,p0,J,v0,f,dt,a,k,L,Dr,D_eff
0,p03.20_J-0.00_v03.16e-02.npy,3.2,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,6.1483365148268656e-12
1,p03.20_J-0.04_v03.16e-02.npy,3.2,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.186303534804304e-10
2,p03.20_J-0.08_v03.16e-02.npy,3.2,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,4.1327780615157717e-07
3,p03.20_J-0.12_v03.16e-02.npy,3.2,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.2120059352913141e-06
4,p03.20_J-0.16_v03.16e-02.npy,3.2,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.3833672961148093e-06
5,p03.30_J-0.00_v03.16e-02.npy,3.3000000000000003,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,6.475844414453983e-12
6,p03.30_J-0.04_v03.16e-02.npy,3.3000000000000003,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,4.105459333898411e-10
7,p03.30_J-0.08_v03.16e-02.npy,3.3000000000000003,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,5.958760636246628e-07
8,p03.30_J-0.12_v03.16e-02.npy,3.3000000000000003,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.7372295786593756e-06
9,p03.30_J-0.16_v03.16e-02.npy,3.3000000000000003,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.8760776692618061e-06
10,p03.40_J-0.00_v03.16e-02.npy,3.4000000000000004,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,3.936886368345585e-09
11,p03.40_J-0.04_v03.16e-02.npy,3.4000000000000004,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,5.87332687068806e-10
12,p03.40_J-0.08_v03.16e-02.npy,3.4000000000000004,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.318777332409614e-06
13,p03.40_J-0.12_v03.16e-02.npy,3.4000000000000004,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.9490764287254026e-06
14,p03.40_J-0.16_v03.16e-02.npy,3.4000000000000004,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.7939096063042085e-06
15,p03.50_J-0.00_v03.16e-02.npy,3.5,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,9.32609116343452e-09
16,p03.50_J-0.04_v03.16e-02.npy,3.5,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.319252854622526e-08
17,p03.50_J-0.08_v03.16e-02.npy,3.5,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.5181455379143024e-06
18,p03.50_J-0.12_v03.16e-02.npy,3.5,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.8835857461209705e-06
19,p03.50_J-0.16_v03.16e-02.npy,3.5,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.1312721192363684e-06
20,p03.60_J-0.00_v03.16e-02.npy,3.6,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.8916499062066054e-08
21,p03.60_J-0.04_v03.16e-02.npy,3.6,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.225820932244668e-07
22,p03.60_J-0.08_v03.16e-02.npy,3.6,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.2121158497578346e-06
23,p03.60_J-0.12_v03.16e-02.npy,3.6,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.2716419450507064e-06
24,p03.60_J-0.16_v03.16e-02.npy,3.6,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,1.4905646163056433e-06
