,frame,avg. speed,movie,plating density,replicate,time (hr)
0,0,1.1781962363934186,1000 cell A.avi,1000,A,0
1,8,1.2602090980572698,1000 cell A.avi,1000,A,8
2,16,0.9778549973319748,1000 cell A.avi,1000,A,16
3,24,1.068081877775907,1000 cell A.avi,1000,A,24
4,32,1.1047800409882005,1000 cell A.avi,1000,A,32
5,40,1.134679486934313,1000 cell A.avi,1000,A,40
6,48,1.0791858067164968,1000 cell A.avi,1000,A,48
7,56,1.3578024790904326,1000 cell A.avi,1000,A,56
8,64,1.0961370762335887,1000 cell A.avi,1000,A,64
9,72,0.8976063153695786,1000 cell A.avi,1000,A,72
10,80,0.8300769903755126,1000 cell A.avi,1000,A,80
11,88,0.7982977380614587,1000 cell A.avi,1000,A,88
12,96,0.826747293669842,1000 cell A.avi,1000,A,96
13,104,0.9349086218088236,1000 cell A.avi,1000,A,104
14,112,1.193563292134647,1000 cell A.avi,1000,A,112
15,120,1.3188911837391444,1000 cell A.avi,1000,A,120
16,128,1.2832672808242749,1000 cell A.avi,1000,A,128
17,136,1.2159753112259521,1000 cell A.avi,1000,A,136
18,144,0.9457329092133514,1000 cell A.avi,1000,A,144
19,152,1.0262847921776974,1000 cell A.avi,1000,A,152
0,0,1.0652629939049143,10000 cells A.avi,10000,A,0
1,8,1.3840795260714902,10000 cells A.avi,10000,A,8
2,16,1.333263987175063,10000 cells A.avi,10000,A,16
3,24,1.3714955069177606,10000 cells A.avi,10000,A,24
4,32,1.5371252319486903,10000 cells A.avi,10000,A,32
5,40,1.4926253285437696,10000 cells A.avi,10000,A,40
6,48,1.2231160521602578,10000 cells A.avi,10000,A,48
7,56,1.4072833325101226,10000 cells A.avi,10000,A,56
8,64,1.473438003468743,10000 cells A.avi,10000,A,64
9,72,1.6330743944733532,10000 cells A.avi,10000,A,72
10,80,1.6560124431425503,10000 cells A.avi,10000,A,80
11,88,1.4810745717783045,10000 cells A.avi,10000,A,88
12,96,1.534933648169762,10000 cells A.avi,10000,A,96
13,104,1.2084526354949312,10000 cells A.avi,10000,A,104
14,112,1.3306053769620338,10000 cells A.avi,10000,A,112
15,120,1.0109699488297157,10000 cells A.avi,10000,A,120
16,128,0.8372553816808562,10000 cells A.avi,10000,A,128
17,136,0.9824302788444232,10000 cells A.avi,10000,A,136
18,144,0.5617929537151467,10000 cells A.avi,10000,A,144
19,152,0.5344217869253034,10000 cells A.avi,10000,A,152
0,0,1.4509009924809062,160000 cells A.avi,160000,A,0
1,8,0.9008385262556644,160000 cells A.avi,160000,A,8
2,16,0.9457583327761833,160000 cells A.avi,160000,A,16
3,24,1.0179453600575994,160000 cells A.avi,160000,A,24
4,32,1.1189026740479682,160000 cells A.avi,160000,A,32
5,40,1.15391952216509,160000 cells A.avi,160000,A,40
6,48,1.11744863229869,160000 cells A.avi,160000,A,48
7,56,0.8123698373204533,160000 cells A.avi,160000,A,56
