,frame,avg. speed,movie,plating density,replicate,time (hr)
0,0,0.7341555375465321,10000 cells B.avi,10000,B,0
1,8,1.1641645319326506,10000 cells B.avi,10000,B,8
2,16,1.3940437563143713,10000 cells B.avi,10000,B,16
3,24,1.1539804287375035,10000 cells B.avi,10000,B,24
4,32,1.0906463335119978,10000 cells B.avi,10000,B,32
5,40,1.4168355191609419,10000 cells B.avi,10000,B,40
6,48,1.5937595080363653,10000 cells B.avi,10000,B,48
7,56,1.4667398926358242,10000 cells B.avi,10000,B,56
8,64,1.759591225268703,10000 cells B.avi,10000,B,64
9,72,1.4699055995590353,10000 cells B.avi,10000,B,72
10,80,1.4448108211030322,10000 cells B.avi,10000,B,80
11,88,1.4415933123946596,10000 cells B.avi,10000,B,88
12,96,1.3588969423832944,10000 cells B.avi,10000,B,96
13,104,1.0692142270881437,10000 cells B.avi,10000,B,104
14,112,1.1244293613961274,10000 cells B.avi,10000,B,112
15,120,0.9625844643751833,10000 cells B.avi,10000,B,120
16,128,0.7228420719374251,10000 cells B.avi,10000,B,128
17,136,0.7648718878385964,10000 cells B.avi,10000,B,136
18,144,0.6119714813782676,10000 cells B.avi,10000,B,144
19,152,0.6476727486110975,10000 cells B.avi,10000,B,152
0,0,0.9933809724555678,20000 cells B.avi,20000,B,0
1,8,1.0837179979136102,20000 cells B.avi,20000,B,8
2,16,0.8499873485383236,20000 cells B.avi,20000,B,16
3,24,1.1327697832360089,20000 cells B.avi,20000,B,24
4,32,1.1949318984535149,20000 cells B.avi,20000,B,32
5,40,1.3146556245168641,20000 cells B.avi,20000,B,40
6,48,1.3630026237539714,20000 cells B.avi,20000,B,48
7,56,1.277306229871717,20000 cells B.avi,20000,B,56
8,64,1.3210470783742172,20000 cells B.avi,20000,B,64
9,72,1.13752893031186,20000 cells B.avi,20000,B,72
10,80,1.2920053477717521,20000 cells B.avi,20000,B,80
11,88,0.921487713758667,20000 cells B.avi,20000,B,88
12,96,0.9645041984277032,20000 cells B.avi,20000,B,96
13,104,0.7841636046945718,20000 cells B.avi,20000,B,104
14,112,0.6257701286739134,20000 cells B.avi,20000,B,112
15,120,0.6261152490766787,20000 cells B.avi,20000,B,120
16,128,0.5914655805593826,20000 cells B.avi,20000,B,128
17,136,0.5388365809626179,20000 cells B.avi,20000,B,136
18,144,0.8602942634661288,20000 cells B.avi,20000,B,144
19,152,0.6619790153254513,20000 cells B.avi,20000,B,152
0,0,1.167648444028578,2500 cell B.avi,2500,B,0
1,8,0.9967469090166,2500 cell B.avi,2500,B,8
2,16,0.7472484476527135,2500 cell B.avi,2500,B,16
3,24,0.41231546935146846,2500 cell B.avi,2500,B,24
4,32,0.9792628443407128,2500 cell B.avi,2500,B,32
5,40,1.5332179754008197,2500 cell B.avi,2500,B,40
6,48,1.2125430453917017,2500 cell B.avi,2500,B,48
7,56,0.9949306046924118,2500 cell B.avi,2500,B,56
8,64,1.2700729247030371,2500 cell B.avi,2500,B,64
9,72,0.8341049629629603,2500 cell B.avi,2500,B,72
10,80,0.8034737425124244,2500 cell B.avi,2500,B,80
11,88,0.6233904085149429,2500 cell B.avi,2500,B,88
12,96,0.8247745374156282,2500 cell B.avi,2500,B,96
13,104,0.7308824774614642,2500 cell B.avi,2500,B,104
14,112,1.1058267203114753,2500 cell B.avi,2500,B,112
15,120,1.061102277305715,2500 cell B.avi,2500,B,120
16,128,1.034544442355261,2500 cell B.avi,2500,B,128
17,136,1.2620962011123695,2500 cell B.avi,2500,B,136
18,144,1.0823974120861672,2500 cell B.avi,2500,B,144
19,152,0.9829982297164752,2500 cell B.avi,2500,B,152
0,0,1.179622791719353,40000 cells B.avi,40000,B,0
1,8,1.1099396743486405,40000 cells B.avi,40000,B,8
2,16,0.9550336285762507,40000 cells B.avi,40000,B,16
3,24,1.2277098759326583,40000 cells B.avi,40000,B,24
4,32,1.3466794024934707,40000 cells B.avi,40000,B,32
5,40,1.300817254923092,40000 cells B.avi,40000,B,40
6,48,1.3315790100641767,40000 cells B.avi,40000,B,48
7,56,1.2426527382363441,40000 cells B.avi,40000,B,56
8,64,1.2121471572957832,40000 cells B.avi,40000,B,64
9,72,1.1916005860641106,40000 cells B.avi,40000,B,72
10,80,1.19173959259281,40000 cells B.avi,40000,B,80
11,88,0.8486619602473392,40000 cells B.avi,40000,B,88
12,96,1.1307200151738555,40000 cells B.avi,40000,B,96
13,104,0.7469334087460047,40000 cells B.avi,40000,B,104
14,112,0.5942985516573775,40000 cells B.avi,40000,B,112
15,120,0.4398472599797799,40000 cells B.avi,40000,B,120
16,128,0.3503293660617574,40000 cells B.avi,40000,B,128
17,136,0.46249800742785824,40000 cells B.avi,40000,B,136
18,144,0.3338313754005679,40000 cells B.avi,40000,B,144
19,152,0.302759052518124,40000 cells B.avi,40000,B,152
0,0,1.1927482809705303,5000 cells B.avi,5000,B,0
1,8,1.3681923809328926,5000 cells B.avi,5000,B,8
2,16,1.0539854253300736,5000 cells B.avi,5000,B,16
3,24,1.40972828881335,5000 cells B.avi,5000,B,24
4,32,1.6843994279969714,5000 cells B.avi,5000,B,32
5,40,1.6726392588763852,5000 cells B.avi,5000,B,40
6,48,1.2912212800451535,5000 cells B.avi,5000,B,48
7,56,1.4685048152122686,5000 cells B.avi,5000,B,56
8,64,1.237158515121068,5000 cells B.avi,5000,B,64
9,72,1.1772370500836742,5000 cells B.avi,5000,B,72
10,80,1.5352218717840607,5000 cells B.avi,5000,B,80
11,88,1.3919767839905117,5000 cells B.avi,5000,B,88
12,96,1.510046353997522,5000 cells B.avi,5000,B,96
13,104,1.5190565206579227,5000 cells B.avi,5000,B,104
14,112,1.4247225947054918,5000 cells B.avi,5000,B,112
15,120,1.398847569411616,5000 cells B.avi,5000,B,120
16,128,1.300387775460398,5000 cells B.avi,5000,B,128
17,136,1.2851758249193368,5000 cells B.avi,5000,B,136
18,144,1.076277902254927,5000 cells B.avi,5000,B,144
19,152,1.1292574011283671,5000 cells B.avi,5000,B,152
0,0,1.3571981931488983,80000 cells B.avi,80000,B,0
1,8,1.0697686191519375,80000 cells B.avi,80000,B,8
2,16,1.0030929942048796,80000 cells B.avi,80000,B,16
3,24,0.9439086413270753,80000 cells B.avi,80000,B,24
4,32,1.1051383632285974,80000 cells B.avi,80000,B,32
5,40,1.2599423747865037,80000 cells B.avi,80000,B,40
6,48,1.3241074920424436,80000 cells B.avi,80000,B,48
7,56,1.091015947284177,80000 cells B.avi,80000,B,56
8,64,1.1434366578678004,80000 cells B.avi,80000,B,64
9,72,0.7953400730972066,80000 cells B.avi,80000,B,72
10,80,0.6688851001009569,80000 cells B.avi,80000,B,80
11,88,0.6688062369391762,80000 cells B.avi,80000,B,88
12,96,0.617343816793607,80000 cells B.avi,80000,B,96
13,104,0.4804686841529053,80000 cells B.avi,80000,B,104
14,112,0.42212714491515796,80000 cells B.avi,80000,B,112
15,120,0.4411562948630156,80000 cells B.avi,80000,B,120
16,128,0.4154736768721111,80000 cells B.avi,80000,B,128
17,136,0.3708427818642335,80000 cells B.avi,80000,B,136
18,144,0.2563855218786292,80000 cells B.avi,80000,B,144
19,152,0.21792196724473256,80000 cells B.avi,80000,B,152
0,0,2.3582234229389365,1000 cell B.avi,1000,B,0
1,8,1.3076436286664523,1000 cell B.avi,1000,B,8
2,16,0.7162075665828613,1000 cell B.avi,1000,B,16
3,24,1.5648246743283165,1000 cell B.avi,1000,B,24
4,32,1.111669512423806,1000 cell B.avi,1000,B,32
5,40,1.8306452357473724,1000 cell B.avi,1000,B,40
6,48,1.5270045765639166,1000 cell B.avi,1000,B,48
7,56,1.1411935190768132,1000 cell B.avi,1000,B,56
8,64,1.3257132868748158,1000 cell B.avi,1000,B,64
9,72,0.9939645985882501,1000 cell B.avi,1000,B,72
10,80,0.651451278120015,1000 cell B.avi,1000,B,80
11,88,0.7879927657898903,1000 cell B.avi,1000,B,88
12,96,1.0878551296175851,1000 cell B.avi,1000,B,96
13,104,1.1089458663500746,1000 cell B.avi,1000,B,104
14,112,1.4826731081528277,1000 cell B.avi,1000,B,112
15,120,1.440908412851729,1000 cell B.avi,1000,B,120
16,128,1.192104631965728,1000 cell B.avi,1000,B,128
17,136,1.2763131684438382,1000 cell B.avi,1000,B,136
18,144,0.9836245829666498,1000 cell B.avi,1000,B,144
19,152,1.0456610276563683,1000 cell B.avi,1000,B,152
0,0,1.3513351979304786,160000 cells B.avi,160000,B,0
1,8,0.991663275795036,160000 cells B.avi,160000,B,8
2,16,0.9097186041067237,160000 cells B.avi,160000,B,16
3,24,0.9918870367471064,160000 cells B.avi,160000,B,24
4,32,1.1019411635204077,160000 cells B.avi,160000,B,32
5,40,1.2370597307911393,160000 cells B.avi,160000,B,40
6,48,1.2466448798958274,160000 cells B.avi,160000,B,48
7,56,0.8314064135229948,160000 cells B.avi,160000,B,56
8,64,0.4630448686942593,160000 cells B.avi,160000,B,64
9,72,0.7062851529276932,160000 cells B.avi,160000,B,72
10,80,0.5041833282456586,160000 cells B.avi,160000,B,80
11,88,0.553497013221326,160000 cells B.avi,160000,B,88
12,96,0.4660759401753887,160000 cells B.avi,160000,B,96
13,104,0.3635112402347599,160000 cells B.avi,160000,B,104
14,112,0.29136300462365616,160000 cells B.avi,160000,B,112
15,120,0.20772694923783627,160000 cells B.avi,160000,B,120
16,128,0.3820286891277003,160000 cells B.avi,160000,B,128
17,136,0.42179851365592913,160000 cells B.avi,160000,B,136
18,144,0.4346377487884378,160000 cells B.avi,160000,B,144
19,152,0.30629907984269666,160000 cells B.avi,160000,B,152
