,frame,avg. speed,movie,plating density,replicate,time (hr)
0,0,1.57882161678151,1000 cell C.avi,1000,C,0
1,8,0.9206563468298159,1000 cell C.avi,1000,C,8
2,16,0.7074597585181748,1000 cell C.avi,1000,C,16
3,24,0.7609300493593645,1000 cell C.avi,1000,C,24
4,32,1.2148817648437362,1000 cell C.avi,1000,C,32
5,40,1.2824379974039712,1000 cell C.avi,1000,C,40
6,48,1.0412082358869286,1000 cell C.avi,1000,C,48
7,56,1.4086922632718077,1000 cell C.avi,1000,C,56
8,64,1.4476791369983706,1000 cell C.avi,1000,C,64
9,72,0.7880764102295023,1000 cell C.avi,1000,C,72
10,80,0.4426835960594099,1000 cell C.avi,1000,C,80
11,88,0.7429400010601697,1000 cell C.avi,1000,C,88
12,96,0.6575356848758401,1000 cell C.avi,1000,C,96
13,104,0.6417562678798759,1000 cell C.avi,1000,C,104
14,112,1.081043549316944,1000 cell C.avi,1000,C,112
15,120,1.2729004871849117,1000 cell C.avi,1000,C,120
16,128,1.33633599234362,1000 cell C.avi,1000,C,128
17,136,1.024571449814939,1000 cell C.avi,1000,C,136
18,144,0.7431345870063717,1000 cell C.avi,1000,C,144
19,152,1.0131895694385342,1000 cell C.avi,1000,C,152
0,0,1.8466432675048972,10000 cells C.avi,10000,C,0
1,8,1.598517847014797,10000 cells C.avi,10000,C,8
2,16,1.333686310613271,10000 cells C.avi,10000,C,16
3,24,1.192423895813874,10000 cells C.avi,10000,C,24
4,32,1.490791545063422,10000 cells C.avi,10000,C,32
5,40,1.466718332721151,10000 cells C.avi,10000,C,40
6,48,1.3740353439093602,10000 cells C.avi,10000,C,48
7,56,1.2398602252273714,10000 cells C.avi,10000,C,56
8,64,1.25635573102629,10000 cells C.avi,10000,C,64
9,72,1.4566320614658261,10000 cells C.avi,10000,C,72
10,80,1.5393467544844401,10000 cells C.avi,10000,C,80
11,88,1.4257403976206975,10000 cells C.avi,10000,C,88
12,96,1.5014128976063654,10000 cells C.avi,10000,C,96
13,104,1.3485664226395546,10000 cells C.avi,10000,C,104
14,112,1.138029400267285,10000 cells C.avi,10000,C,112
15,120,1.1461940928615315,10000 cells C.avi,10000,C,120
16,128,0.794264869067808,10000 cells C.avi,10000,C,128
17,136,0.8816563165813535,10000 cells C.avi,10000,C,136
18,144,0.7356991078994862,10000 cells C.avi,10000,C,144
19,152,0.6909681623643075,10000 cells C.avi,10000,C,152
0,0,1.3247166902813352,160000 cells C.avi,160000,C,0
1,8,0.9066106772837068,160000 cells C.avi,160000,C,8
2,16,0.8035329362520804,160000 cells C.avi,160000,C,16
3,24,0.7576068172430591,160000 cells C.avi,160000,C,24
4,32,0.9354726800947861,160000 cells C.avi,160000,C,32
5,40,0.8774015962773692,160000 cells C.avi,160000,C,40
6,48,0.8790993338770289,160000 cells C.avi,160000,C,48
7,56,0.5024196433214674,160000 cells C.avi,160000,C,56
8,64,0.3630796460324452,160000 cells C.avi,160000,C,64
9,72,0.6576506698275171,160000 cells C.avi,160000,C,72
10,80,0.27150767428129763,160000 cells C.avi,160000,C,80
11,88,0.31431920136568803,160000 cells C.avi,160000,C,88
12,96,0.2724401517548338,160000 cells C.avi,160000,C,96
13,104,0.2660199093116097,160000 cells C.avi,160000,C,104
14,112,0.25861302929962093,160000 cells C.avi,160000,C,112
15,120,0.214158307282735,160000 cells C.avi,160000,C,120
16,128,0.19472536118001169,160000 cells C.avi,160000,C,128
17,136,0.3015442715719372,160000 cells C.avi,160000,C,136
18,144,0.1773841767983592,160000 cells C.avi,160000,C,144
19,152,0.1501646663752326,160000 cells C.avi,160000,C,152
0,0,1.0793535628101387,20000 cells C.avi,20000,C,0
1,8,1.1006971873705516,20000 cells C.avi,20000,C,8
2,16,1.1216978330887108,20000 cells C.avi,20000,C,16
3,24,1.209902552257446,20000 cells C.avi,20000,C,24
4,32,1.612750951622742,20000 cells C.avi,20000,C,32
5,40,1.4241064906558376,20000 cells C.avi,20000,C,40
6,48,1.5508150733757442,20000 cells C.avi,20000,C,48
7,56,1.3302896691432304,20000 cells C.avi,20000,C,56
8,64,1.347582218708235,20000 cells C.avi,20000,C,64
9,72,1.298209708841066,20000 cells C.avi,20000,C,72
10,80,1.3787757607867466,20000 cells C.avi,20000,C,80
11,88,1.0369526504025943,20000 cells C.avi,20000,C,88
12,96,0.8753958760689085,20000 cells C.avi,20000,C,96
13,104,1.0412389926367813,20000 cells C.avi,20000,C,104
14,112,1.036556104196966,20000 cells C.avi,20000,C,112
15,120,0.6413219297771234,20000 cells C.avi,20000,C,120
16,128,0.824675255297283,20000 cells C.avi,20000,C,128
17,136,0.7856022650869003,20000 cells C.avi,20000,C,136
18,144,0.9293989722104913,20000 cells C.avi,20000,C,144
19,152,0.9038652733640884,20000 cells C.avi,20000,C,152
0,0,1.7554944440879745,2500 cell C.avi,2500,C,0
1,8,0.6332553520693281,2500 cell C.avi,2500,C,8
2,16,0.5800085337253581,2500 cell C.avi,2500,C,16
3,24,0.6510123698381726,2500 cell C.avi,2500,C,24
4,32,0.6671793024145416,2500 cell C.avi,2500,C,32
5,40,1.1136900042446172,2500 cell C.avi,2500,C,40
6,48,0.9299186781809128,2500 cell C.avi,2500,C,48
7,56,1.045238493628855,2500 cell C.avi,2500,C,56
8,64,1.1355840025568886,2500 cell C.avi,2500,C,64
9,72,0.6879182964304806,2500 cell C.avi,2500,C,72
10,80,0.7517619044840077,2500 cell C.avi,2500,C,80
11,88,0.8095940400064642,2500 cell C.avi,2500,C,88
12,96,0.8349254388433398,2500 cell C.avi,2500,C,96
13,104,0.8465304753479505,2500 cell C.avi,2500,C,104
14,112,0.9877324943220948,2500 cell C.avi,2500,C,112
15,120,0.9464948465536076,2500 cell C.avi,2500,C,120
16,128,1.1955997375973149,2500 cell C.avi,2500,C,128
17,136,1.2550846340986908,2500 cell C.avi,2500,C,136
18,144,1.1469985304632333,2500 cell C.avi,2500,C,144
19,152,0.8353061272488558,2500 cell C.avi,2500,C,152
0,0,1.1718217803072266,40000 cells C.avi,40000,C,0
1,8,1.3012656885483134,40000 cells C.avi,40000,C,8
2,16,1.1159737660283453,40000 cells C.avi,40000,C,16
3,24,0.9885327581774894,40000 cells C.avi,40000,C,24
4,32,1.0882538644415054,40000 cells C.avi,40000,C,32
5,40,1.118769705442034,40000 cells C.avi,40000,C,40
6,48,1.3575445802570534,40000 cells C.avi,40000,C,48
7,56,1.3993954522508236,40000 cells C.avi,40000,C,56
8,64,1.3251346850600572,40000 cells C.avi,40000,C,64
9,72,1.1381587940672224,40000 cells C.avi,40000,C,72
10,80,1.071536249645214,40000 cells C.avi,40000,C,80
11,88,0.925719329622878,40000 cells C.avi,40000,C,88
12,96,0.8628737548519351,40000 cells C.avi,40000,C,96
13,104,0.6246652624383116,40000 cells C.avi,40000,C,104
14,112,0.5671868109461479,40000 cells C.avi,40000,C,112
15,120,0.4098437799020999,40000 cells C.avi,40000,C,120
16,128,0.4177010404427246,40000 cells C.avi,40000,C,128
17,136,0.5068581391767797,40000 cells C.avi,40000,C,136
18,144,0.6267721468414353,40000 cells C.avi,40000,C,144
19,152,0.4663895566872464,40000 cells C.avi,40000,C,152
0,0,1.7619830297205719,80000 cells C.avi,80000,C,0
1,8,1.1668085343401862,80000 cells C.avi,80000,C,8
2,16,1.2778156700020757,80000 cells C.avi,80000,C,16
3,24,1.0917902941621838,80000 cells C.avi,80000,C,24
4,32,1.2190429415966768,80000 cells C.avi,80000,C,32
5,40,1.406098391872046,80000 cells C.avi,80000,C,40
6,48,1.4975057133950234,80000 cells C.avi,80000,C,48
7,56,1.3785171071485354,80000 cells C.avi,80000,C,56
8,64,1.2494453823910927,80000 cells C.avi,80000,C,64
9,72,0.7603252263124999,80000 cells C.avi,80000,C,72
10,80,0.9085159808612213,80000 cells C.avi,80000,C,80
11,88,0.7078663941526705,80000 cells C.avi,80000,C,88
12,96,0.8295171120431304,80000 cells C.avi,80000,C,96
13,104,0.6571173251034843,80000 cells C.avi,80000,C,104
